compound,Name,Formula,CAS,MolWeight,C1,C2,C3,C4,Tmin,Dmin,Tmax,Dmax
326,"1,1,2-Trichloroethane",C2H3Cl3,79-00-5,133.40422,0.9062,0.25475,602.0,0.31,236.5,11.478,602.0,3.5572
327,Tridecane,C13H28,629-50-5,184.36142,0.29934,0.2433,675.0,0.28571,267.76,4.1817,675.0,1.2303
328,Triethyl amine,C6H15N,121-44-8,101.19,0.7035,0.27386,535.15,0.2872,158.45,8.2843,535.15,2.5688
329,Trimethyl amine,C3H9N,75-50-3,59.11026,1.0116,0.25683,433.25,0.2696,156.08,13.144,433.25,3.9388
330,"1,2,3-Trimethylbenzene",C9H12,526-73-8,120.19158,0.6531,0.27002,664.5,0.26268,243.15,7.7278,664.5,2.4187
331,"1,2,4-Trimethylbenzene",C9H12,95-63-6,120.19158,0.60394,0.25956,649.1,0.27713,229.33,7.689,649.1,2.3268
332,"2,2,4-Trimethylpentane",C8H18,540-84-1,114.22852,0.59059,0.27424,543.8,0.2847,165.78,6.9146,543.8,2.1536
333,"2,3,3-Trimethylpentane",C8H18,560-21-4,114.22852,0.6028,0.27446,573.5,0.2741,172.22,7.0934,573.5,2.1963
334,"1,3,5-Trinitrobenzene",C6H3N3O6,99-35-4,213.10452,0.48195,0.23093,846.0,0.28571,398.4,7.0825,846.0,2.087
335,"2,4,6-Trinitrotoluene",C7H5N3O6,118-96-7,227.1311,0.37378,0.21379,828.0,0.29905,354.0,6.4521,828.0,1.7484
336,Undecane,C11H24,1120-21-4,156.30826,0.36703,0.24876,639.0,0.28571,247.57,4.9453,639.0,1.4754
337,1-Undecanol,C11H24O,112-42-5,172.30766,0.33113,0.23676,703.9,0.2762,288.45,4.8594,703.9,1.3986
338,Vinyl acetate,C4H6O2,108-05-4,86.08924,0.9591,0.2593,519.13,0.27448,180.35,12.287,519.13,3.6988
339,Vinyl acetylene,C4H4,689-97-4,52.07456,1.2703,0.26041,454.0,0.297,173.15,15.664,454.0,4.8781
340,Vinyl chloride,C2H3Cl,75-01-4,62.49822,1.5115,0.2707,432.0,0.2716,119.36,18.481,432.0,5.5837
341,Vinyl trichlorosilane,C2H3Cl3Si,75-94-5,161.48972,0.59595,0.24314,543.15,0.24856,178.35,8.8236,543.15,2.4511
342,Water,H2O,7732-18-5,18.01528,-13.851,0.64038,-0.0019124,1.8211e-06,273.16,55.497,353.15,54.001
343,m-Xylene,C8H10,108-38-3,106.165,0.68902,0.26086,617.0,0.27479,225.3,8.648,617.0,2.6413
344,o-Xylene,C8H10,95-47-6,106.165,0.69962,0.26143,630.3,0.27365,247.98,8.6229,630.3,2.6761
345,p-Xylene,C8H10,106-42-3,106.165,0.67752,0.25887,616.2,0.27596,286.41,8.1614,616.2,2.6172
